engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,fuel_consumption_comb_mpg,co2_emissions,make_type,vehicle_class_type
2.5,4,AS6,X,10.0,7.6,8.9,32,208.0,General,SUV
4.7,8,AM7,Z,17.4,11.3,14.7,19,338.0,Sports,Sedan
2.0,4,AS6,X,11.9,10.2,11.1,25,263.0,General,SUV
3.5,6,AS6,Z,12.6,9.2,11.1,25,258.0,Premium,Hatchback
2.8,4,A6,D,10.8,8.0,9.6,29,257.0,Premium,Truck
1.5,3,A8,X,8.9,7.6,8.3,34,196.0,General,SUV
1.5,4,A4,X,7.9,6.6,7.3,39,168.0,General,Hatchback
2.0,4,A9,Z,11.1,8.6,10.0,28,240.0,Premium,SUV
1.5,3,AS6,Z,8.7,6.8,7.9,36,184.0,Premium,Hatchback
1.6,4,A6,X,8.5,6.4,7.6,37,175.0,General,Hatchback
2.0,4,AS10,X,10.4,7.4,9.1,31,211.0,General,Sedan
2.7,4,AS6,X,12.7,10.5,11.7,24,274.0,General,Truck
1.4,4,M5,X,7.7,6.1,7.0,40,163.0,General,Hatchback
2.0,4,AS8,Z,10.2,7.2,8.9,32,208.0,Premium,Hatchback
3.8,6,AM7,Z,12.6,9.9,11.4,25,266.0,Sports,Hatchback
3.0,6,A9,D,10.1,8.0,9.2,31,246.0,Premium,SUV
1.5,4,AV,X,7.6,5.5,6.7,42,157.0,General,Sedan
6.0,9,AM8,Z,19.2,12.2,16.0,18,373.0,Luxury,Sedan
5.0,8,AS6,Z,15.9,10.9,13.6,21,313.0,Sports,Hatchback
2.0,4,AS8,Z,11.5,8.7,10.3,27,241.0,Luxury,Hatchback
1.4,4,M5,X,7.8,5.8,6.9,41,162.0,General,Hatchback
2.0,4,AS8,X,9.6,6.7,8.3,34,193.0,Premium,Hatchback
3.0,6,A9,Z,12.5,9.6,11.2,25,262.0,Premium,SUV
1.8,4,AS6,X,9.3,7.0,8.3,34,193.0,General,Hatchback
6.2,8,A8,Z,16.0,11.7,14.1,20,331.0,General,Truck
6.0,9,AM7,Z,19.5,12.8,16.5,17,390.0,Sports,Sedan
2.0,4,M6,Z,10.7,7.0,9.0,31,211.0,Premium,Hatchback
2.0,4,M6,X,10.5,8.1,9.4,30,220.0,General,SUV
3.5,6,AS8,Z,12.1,8.3,10.4,27,239.0,Premium,Sedan
2.5,5,AS6,X,11.6,8.2,10.1,28,232.0,Premium,Hatchback
1.5,3,AS6,Z,9.4,7.0,8.3,34,195.0,Premium,Sedan
4.8,8,A8,Z,16.7,11.2,14.2,20,327.0,Sports,SUV
3.5,6,A6,X,14.5,10.6,12.7,22,292.0,General,Truck
2.5,4,AS6,X,9.0,6.7,7.8,36,183.0,General,Sedan
1.6,4,A6,Z,8.7,6.6,7.8,36,179.0,Premium,Hatchback
5.7,8,AS6,X,18.4,13.8,16.4,17,384.0,General,SUV
1.6,4,A6,Z,10.0,7.8,9.0,31,207.0,Premium,Hatchback
2.5,4,AS6,X,8.5,6.4,7.6,37,176.0,General,Hatchback
2.5,4,M6,X,11.9,9.2,10.7,26,251.0,Premium,Truck
